Agent,Harness,Harness version,Harness snapshot date,Effort,Valid,Tasks,Task GM,Training GM,Training valid,Training tasks,RL GM,RL valid,RL tasks,Serving GM,Serving valid,Serving tasks,Stage GM,Implementation Optimization GM,Implementation Optimization valid,Implementation Optimization tasks,Joint Optimization GM,Joint Optimization valid,Joint Optimization tasks,Model Adaptation GM,Model Adaptation valid,Model Adaptation tasks,Open Build GM,Open Build valid,Open Build tasks,Scope GM,"Input tokens (M, median)","Output tokens (k, median)",Tool calls (median),S01 ratio,S01 outcome,S02 ratio,S02 outcome,S03 ratio,S03 outcome,S04 ratio,S04 outcome,S05 ratio,S05 outcome,S06 ratio,S06 outcome,S07 ratio,S07 outcome,S08 ratio,S08 outcome,S09 ratio,S09 outcome,S10 ratio,S10 outcome,S11 ratio,S11 outcome,S12 ratio,S12 outcome,S13 ratio,S13 outcome,T01 ratio,T01 outcome,T02 ratio,T02 outcome,T03 ratio,T03 outcome,T04 ratio,T04 outcome,T05 ratio,T05 outcome,T06 ratio,T06 outcome,R01 ratio,R01 outcome,R02 ratio,R02 outcome,R03 ratio,R03 outcome,R04 ratio,R04 outcome,R05 ratio,R05 outcome
GPT-6 Astra,Codex,0.154.0,2026-09-14,max,24,24,1.6278482433199715,1.3586696724580285,6,6,3.7439344328732256,5,5,1.284469534657799,13,13,1.8694849556889832,1.2368114250774673,13,13,3.097725313519436,5,5,1.2532790657492678,3,3,2.3794518006064775,3,3,1.8385175192257623,20.832413,125.534,257.0,1.689721887060192,admitted,1.4985842194691694,admitted,1.355577754896607,admitted,1.0908673569170095,admitted,1.2688646327753714,admitted,1.0870617142443684,admitted,1.03304345312145,admitted,1.0946178504315527,admitted,1.0335833998462025,admitted,2.642213619884789,admitted,1.0242816185586168,admitted,1.4417292999056839,admitted,1.0998908152231532,admitted,1.09183451788766,admitted,1.027455124342077,admitted,1.0587639832712852,admitted,1.070092488413383,admitted,1.026095045236544,admitted,4.823425116764573,admitted,2.210230710106246,admitted,5.993938389131523,admitted,16.432121115449657,admitted,1.3306751335401736,admitted,2.5393678674829907,admitted
Claude Fable 5.1,Claude Code,2.1.267,2026-09-14,max,22,24,1.374128677365906,1.379433871003203,6,6,2.2803476939148846,4,5,1.1584201580120745,12,13,1.538825428200184,1.098032768478374,12,13,2.1826731869520026,5,5,1.341827236258846,2,3,1.5835343760985943,3,3,1.5022147717405214,17.8543915,173.4355,277.0,1.38069507755753,admitted,1.0018849158243717,admitted,1.0573422284564191,admitted,1.0353505488375616,admitted,1.040078765131209,admitted,1.0,admitted,1.0,admitted,1.0056671700878659,admitted,,measurement_failure,2.4283239827516927,admitted,1.1082803299635968,admitted,1.368304129663843,admitted,1.0011871565174681,admitted,1.0708102799675472,admitted,1.1124735515991406,admitted,1.2719550685515786,admitted,1.124635710488434,admitted,1.3158626747756648,admitted,3.07262018368477,admitted,1.2798836806454992,admitted,1.80715459830237,admitted,9.056911746659912,admitted,,correctness_failure,1.290798161731751,admitted
GPT-5.6 Sol,Codex,0.149.1,2026-08-24,max,23,24,1.3864579845857041,1.4477516558562846,6,6,2.3569277182441084,4,5,1.1543330976311397,13,13,1.5792728191053682,1.152882860897595,13,13,2.1811043991169576,4,5,1.3666188208419563,3,3,1.710014027366268,3,3,1.5569590016888653,30.9586295,65.5885,152.5,1.424133494541154,admitted,1.0607578924915657,admitted,1.0660342789804713,admitted,1.0900086324479514,admitted,1.046236528516662,admitted,1.002037711455164,admitted,1.0102217145290697,admitted,1.119188152207522,admitted,1.0311107323345365,admitted,2.2586184528067945,admitted,1.040441612893491,admitted,1.28559654876741,admitted,0.9968561819348187,admitted,1.0887734672969038,admitted,1.1351070213576049,admitted,1.275451094296668,admitted,1.2698271465285567,admitted,1.3322606813394982,admitted,3.4529672097249984,admitted,1.8795855249779632,admitted,,source_rejection,7.584040121839535,admitted,1.4902127802215714,admitted,1.4526937171019025,admitted
Claude Opus 5,Claude Code,2.1.241,2026-08-24,max,21,24,1.218488034996717,1.3682933289223491,6,6,1.2297470355622768,2,5,1.1533592464670364,13,13,1.2473448315808255,1.1056639414657652,13,13,1.387432356744976,4,5,1.3141431874667542,2,3,1.6387267669912269,2,3,1.3481743190105224,17.0469885,154.0435,169.0,1.381866550559597,admitted,0.9855242266583861,admitted,1.024542075509283,admitted,1.0759133579910776,admitted,1.2891633003933147,admitted,1.0017526004256927,admitted,0.974593009721317,admitted,1.1255658554126877,admitted,1.061445864878508,admitted,2.549866332917106,admitted,1.010233124417044,admitted,1.2930256074754694,admitted,0.8499486844871931,admitted,1.0488191700544396,admitted,0.9980608740427398,admitted,1.2806934110877786,admitted,1.1600422198064195,admitted,1.3356056579088624,admitted,3.159514763498622,admitted,1.2195429758543568,admitted,1.2400364738395333,admitted,,source_rejection,,correctness_failure,,correctness_failure
Kimi K3,Kimi Code,0.38.0,2026-08-24,max,20,24,1.3140000696797047,1.2954243654545476,6,6,2.3325801057281232,3,5,1.1323827500628472,11,13,1.5068867860419177,1.1317548678900957,11,13,1.5838383402579208,4,5,1.2384531821636005,2,3,1.8422265179433621,3,3,1.4220715940419328,24.991528,108.733,192.5,,measurement_failure,1.0507534925024458,admitted,0.9995897264188435,admitted,,measurement_failure,1.0000968099106173,admitted,0.9973893933519561,admitted,1.0015987987312573,admitted,1.0273077214261237,admitted,1.1453905267592013,admitted,2.594594908877432,admitted,1.002208865765433,admitted,1.1890989770416007,admitted,1.0282590485791685,admitted,1.0785777446948739,admitted,1.1602269516638233,admitted,1.2336277040834196,admitted,1.1728723817889746,admitted,1.2898558606341224,admitted,2.0234939422918594,admitted,2.047011188599957,admitted,2.0633117219909547,admitted,,correctness_failure,,correctness_failure,3.004862749283656,admitted
DeepSeek-V4-Pro,DeepSeek,0.1.1-rc.2,2026-08-24,max,20,24,1.2121944538054288,1.1906808948374843,5,6,1.2428214176982586,3,5,1.2136782291583452,12,13,1.2155399172314347,1.1786481887523004,13,13,1.5657333913044873,4,5,1.2066885954299174,2,3,0.6329795381678164,1,3,1.089611608583127,33.953254,78.42,182.0,2.2206540145123395,admitted,0.8866050572795879,admitted,1.2706520387194327,admitted,1.0737802472130484,admitted,1.1318284198035053,admitted,1.0,admitted,1.0084949234013179,admitted,0.9983591822004659,admitted,1.1298592762328776,admitted,2.587882759555259,admitted,1.0086457148811085,admitted,1.131464311433642,admitted,,correctness_failure,1.092216762484514,admitted,1.1320436018363176,admitted,1.358182019031466,admitted,1.1073818497984318,admitted,1.2869140914357722,admitted,,correctness_failure,1.4586325724339606,admitted,2.079172910280227,admitted,,source_rejection,,correctness_failure,0.6329795381678164,admitted
GLM-5.3,Claude Code,2.1.241,2026-08-24,max,19,24,1.335869872480499,1.135821547860104,5,6,2.7400332038211923,3,5,1.1822248590324818,11,13,1.54379159489437,1.1383197698118195,12,13,2.4309884394972703,4,5,1.1404388727225598,3,3,,0,3,,18.982268,84.668,178.0,1.5623784448001699,admitted,1.0275371172373733,admitted,1.204773017632723,admitted,1.0189421724294034,admitted,,measurement_failure,1.0,admitted,1.0007962540092017,admitted,1.0052916731881727,admitted,1.0135839024704913,admitted,2.610234560947878,admitted,1.0407574964064867,admitted,1.1548774124913228,admitted,,measurement_failure,1.2617301584783753,admitted,1.0003892191491743,admitted,1.0130260774327366,admitted,1.1262440677368557,admitted,1.312689130502555,admitted,,correctness_failure,1.8419559611307408,admitted,,correctness_failure,11.41484383815152,admitted,0.9784040909829289,admitted,,correctness_failure
MiniMax M3,Claude Code,2.1.241,2026-08-24,max,15,24,1.1182022026648952,1.0190534714760298,4,6,1.2057740272661284,2,5,1.1459483552279714,9,13,1.1208374869932123,1.1281833799878824,12,13,0.9972932232518485,2,5,1.263580876496821,1,3,,0,3,,45.1734125,70.2165,302.5,2.212843305303757,admitted,1.0432718715191291,admitted,0.9921757043338262,admitted,1.0318212501784276,admitted,1.0069303508408445,admitted,1.0083440797731849,admitted,1.0020934503847385,admitted,1.1215657585735876,admitted,,measurement_failure,,correctness_failure,,correctness_failure,1.263580876496821,admitted,,correctness_failure,1.0949646876522499,admitted,1.0,admitted,1.0385200077217276,admitted,0.9483593049650199,admitted,,correctness_failure,,correctness_failure,1.386305746190671,admitted,1.048752058356982,admitted,,correctness_failure,,correctness_failure,,correctness_failure
Gemini 3.7 Flash,Antigravity,1.1.19,2026-08-24,high,14,24,1.1282486808875767,1.0520783723520781,4,6,1.474778699551274,1,5,1.1297232076427128,9,13,1.2057270379706853,1.1333650556160857,11,13,0.9873686468269807,1,5,1.1764139747773226,2,3,,0,3,,36.761037,104.977,241.0,2.233162661687398,admitted,0.9802939982028552,admitted,,source_rejection,1.0035203318972559,admitted,1.0008555109009902,admitted,0.9730491262709912,admitted,1.0265569608481477,admitted,1.0027576731124077,admitted,,measurement_failure,,measurement_failure,0.9873686468269807,admitted,1.3784183509462178,admitted,,correctness_failure,0.9915521168867997,admitted,1.0003702182372256,admitted,1.2302029606906273,admitted,,correctness_failure,1.004012924741871,admitted,,source_rejection,1.474778699551274,admitted,,correctness_failure,,source_rejection,,correctness_failure,,source_rejection
Unmodified starting code,,,,,18,24,1.0,1.0,4,6,1.0,3,5,1.0,11,13,1.0,1.0,13,13,1.0,5,5,,0,3,,0,3,,,,,1.0,admitted,1.0,admitted,1.0,admitted,1.0,admitted,1.0,admitted,1.0,admitted,1.0,admitted,1.0,admitted,1.0,admitted,1.0,admitted,1.0,admitted,,unavailable,,unavailable,1.0,admitted,1.0,admitted,1.0,admitted,1.0,admitted,,unavailable,,unavailable,1.0,admitted,1.0,admitted,1.0,admitted,,unavailable,,unavailable
